LPdom_LPfor	LBVwil_LPdom	LBVwil_LPfor
0.0	84364.0144561125	84364.0144561125
0.0	711693.1387807983	711693.1387807983
63545.66563511758	117219.4229870024	117219.4229870024
0.0	57366.143046936166	57366.143046936166
0.0	83286.64802074338	83286.64802074338
0.0	55182.43026546443	55182.43026546443
93996.54399217758	36468.79812201291	36468.79812201291
17528.16809865622	122151.6075382238	122151.6075382238
66543.02492933796	217771.5503610953	217771.5503610953
48568.665756726194	1432443.711875471	1432443.711875471
11673.511170169506	42461.130589658555	42461.130589658555
20912.5752352279	29793.19828328703	29793.19828328703
0.0	7019.211595108885	7019.211595108885
9597.641967920088	276242.98275307973	276242.98275307973
48598.574879741376	71962.056875485	71962.056875485
0.0	56410.42376923213	56410.42376923213
18561.069044182084	296772.99319577886	296772.99319577886
60667.37283077378	89352.92721209505	89352.92721209505
21309.98148625254	178534.6165274819	178534.6165274819
23626.351499544857	27003.583962350112	27003.583962350112
24584.46039898216	623680.7728668064	623680.7728668064
31294.223180523073	127938.87387079546	127938.87387079546
36775.06159304816	173952.95533108406	173952.95533108406
39940.95813679747	38244.18389274872	38244.18389274872
55906.11834098023	178222.74046630587	178222.74046630587
0.0	54905.096429766985	54905.096429766985
75500.45624042115	221848.16460186738	221848.16460186738
39442.62518719774	78150.18975138362	78150.18975138362
28553.727420610747	22903.521858321837	22903.521858321837
23870.91770397714	47834.84421099799	47834.84421099799
0.0	119037.89550863924	119037.89550863924
97740.33518795419	19420.967852534963	19420.967852534963
103197.39319670034	19479.027298384994	19479.027298384994
9489.618305991773	230225.32538744743	230225.32538744743
7975.719492566008	125825.99674356052	125825.99674356052
19538.666669085484	704591.9183468602	704591.9183468602
44284.04455587868	92392.88219686343	92392.88219686343
22420.434927537164	17809.15933998012	17809.15933998012
29930.646414429604	378336.46335107955	378336.46335107955
29684.793984469914	19448.09984607113	19448.09984607113
16192.585980646796	10810.148021405432	10810.148021405432
0.0	28356.476934473656	28356.476934473656
21965.813519240568	25839.679831249567	25839.679831249567
25431.37349251077	575605.8011607322	575605.8011607322
19762.70563042168	6926.700072255087	6926.700072255087
102156.87941106476	94111.12852539145	94111.12852539145
15732.228257626573	53302.070212228864	53302.070212228864
32767.63631759501	686570.3665677991	686570.3665677991
24732.787720066568	128064.22086561203	128064.22086561203
50016.37537864465	5804.9299266267835	5804.9299266267835
30507.601389019877	406741.96360019484	406741.96360019484
43763.569392859696	17423.680974797517	17423.680974797517
51371.72161811847	35222.060352546854	35222.060352546854
48915.79584092791	7719.193095492596	7719.193095492596
22641.04077986696	14873.967604901914	14873.967604901914
25328.401576948898	21152.12162965609	21152.12162965609
10271.623427438022	822963.7167750122	822963.7167750122
30634.389122089357	49866.175134292076	49866.175134292076
0.0	33877.48198259747	33877.48198259747
43478.9395080735	82549.01574933514	82549.01574933514
30888.643241745733	332176.38605673035	332176.38605673035
36211.71800656056	16213.239591566138	16213.239591566138
13039.27819207135	226048.08015461752	226048.08015461752
77921.22770183344	16361.0908027489	16361.0908027489
20055.274663726133	382040.9420599288	382040.9420599288
18295.52388002643	128415.12741577969	128415.12741577969
64520.712109215296	41622.40016806346	41622.40016806346
11686.909439314297	564901.3738546335	564901.3738546335
33654.89280874532	14332.540116652688	14332.540116652688
148701.14716590094	228305.65896727145	228305.65896727145
49027.473629631175	8803.586876236168	8803.586876236168
34801.11451819935	24216.644074329946	24216.644074329946
50257.2761748392	151906.5076396695	151906.5076396695
30278.508293421823	127293.734466863	127293.734466863
22070.851017986854	244422.89103598622	244422.89103598622
39173.59090534932	400408.58731051214	400408.58731051214
0.0	285563.6845361611	285563.6845361611
7523.527859448432	12262.841402955688	12262.841402955688
41793.852883348925	35447.55164648803	35447.55164648803
30628.351944004902	41229.31320930781	41229.31320930781
14886.782724321354	267299.63827532413	267299.63827532413
106557.61713551065	153406.20033801257	153406.20033801257
0.0	697815.6009650659	697815.6009650659
51542.42171412224	10421.083025211461	10421.083025211461
0.0	425626.8368579932	425626.8368579932
58458.282772448096	5018.863215936738	5018.863215936738
13643.42562671414	393488.9346667051	393488.9346667051
27215.35920207181	48675.87694796913	48675.87694796913
18854.21570787545	450255.82966844	450255.82966844
23524.575369090177	386939.38402447064	386939.38402447064
31654.530325662516	35572.29009757828	35572.29009757828
31061.52504408563	6567.338703149642	6567.338703149642
17681.673900657446	192895.39658794555	192895.39658794555
50542.95319960342	127570.03486251773	127570.03486251773
44387.96583570066	183399.35508225986	183399.35508225986
5720.30283832285	83327.15480430516	83327.15480430516
8429.969200771524	140005.02579316945	140005.02579316945
30449.91824791619	24975.219098519327	24975.219098519327
15913.241487523104	268264.7006806186	268264.7006806186
18196.489288425055	5503.109310690177	5503.109310690177
53369.92037434974	33466.514654539686	33466.514654539686
13970.124664039846	308611.5107205649	308611.5107205649
26804.949667675566	14151.65373453265	14151.65373453265
39042.52368390704	16484.00027422013	16484.00027422013
44295.27141921875	110954.59912579277	110954.59912579277
23339.77693121453	9730.147779532263	9730.147779532263
13006.476483965362	299192.7586976331	299192.7586976331
106259.51534701633	210901.240581683	210901.240581683
15146.513507388438	215113.49384994147	215113.49384994147
57716.45874927626	43156.999619678	43156.999619678
11081.864899751392	394553.8127530861	394553.8127530861
19963.84933921109	134264.3219195736	134264.3219195736
13985.18074389136	188593.260967232	188593.260967232
21551.68175025707	76503.9523042472	76503.9523042472
21142.2877462499	54357.74662776855	54357.74662776855
23474.858750034018	133813.59083724988	133813.59083724988
0.0	274343.84393016825	274343.84393016825
10104.390615738046	4772.978739358107	4772.978739358107
25032.359941759052	103177.83402813182	103177.83402813182
18434.278759490153	232311.6747945023	232311.6747945023
29729.740551300652	16267.049369913067	16267.049369913067
15420.816761472552	37990.96065823204	37990.96065823204
69750.68528693239	122734.77074347611	122734.77074347611
70848.95859728374	34038.70132468207	34038.70132468207
0.0	137170.14117578726	137170.14117578726
27630.407302666612	22916.78261079032	22916.78261079032
46670.6005032729	117245.33799957205	117245.33799957205
45700.96445822968	1478273.3212715467	1478273.3212715467
0.0	9182.959225081848	9182.959225081848
41355.91103393388	27990.830089175237	27990.830089175237
49611.62076100243	100344.5828303941	100344.5828303941
45775.861571979876	22163.427329423004	22163.427329423004
21437.462653364833	260530.24165319174	260530.24165319174
18472.42951071413	43202.41618747142	43202.41618747142
66078.28404005547	1244515.1531313315	1244515.1531313315
31079.929598962568	26844.54121775176	26844.54121775176
0.0	57856.66022194457	57856.66022194457
28687.54846888422	215493.24335508316	215493.24335508316
22908.456379640244	24004.044822288517	24004.044822288517
32657.607840587552	56403.32162383628	56403.32162383628
38078.69583748236	391199.70635475894	391199.70635475894
66323.33888075002	13331.700149157577	13331.700149157577
0.0	53750.66269701806	53750.66269701806
48694.8903670702	1084008.076658569	1084008.076658569
27000.180601672335	15200.201282279639	15200.201282279639
89244.07392872179	6943.636761330032	6943.636761330032
53097.38713759962	270171.8852230026	270171.8852230026
23213.751123823917	88901.86245902671	88901.86245902671
15051.939197217875	188511.69806928077	188511.69806928077
29785.519464071447	71364.86807790842	71364.86807790842
34345.307692927636	160150.19256515216	160150.19256515216
81652.8018690242	84542.57401738602	84542.57401738602
16084.466635040562	46556.47819915128	46556.47819915128
39889.589936876255	558390.2173733963	558390.2173733963
33797.033899880196	1741244.4346731172	1741244.4346731172
80316.98677979846	482224.3483732676	482224.3483732676
9166.25436992765	442884.76560856606	442884.76560856606
0.0	4648.165182369797	4648.165182369797
14774.126801252654	20579.927641786562	20579.927641786562
22956.657407850653	20252.456649182022	20252.456649182022
20010.3521032107	50642.6003546225	50642.6003546225
15698.321543517037	258684.12116863122	258684.12116863122
13258.639353071689	24988.03283191986	24988.03283191986
11232.213582090826	125705.44596399972	125705.44596399972
15593.720920624397	115917.85162349345	115917.85162349345
0.0	48935.19770059141	48935.19770059141
18089.137472941904	453437.7054069108	453437.7054069108
18570.105728785027	8299.02474367153	8299.02474367153
17526.135115104433	22719.88455659498	22719.88455659498
61663.83241763115	30392.57754689426	30392.57754689426
12587.283591781948	178775.84973878492	178775.84973878492
43153.08316051708	19490.176781257636	19490.176781257636
25148.381044518	311995.99684879626	311995.99684879626
16219.455796688222	225552.762197037	225552.762197037
12879.32567440636	24360.215695194194	24360.215695194194
40440.68324036925	11900.182192250328	11900.182192250328
39796.53542936117	54045.982953099134	54045.982953099134
26849.37125134755	215807.77599166986	215807.77599166986
98780.2490574537	56017.451458458454	56017.451458458454
0.0	848723.6730179515	848723.6730179515
47481.20913791316	374969.94314770866	374969.94314770866
76710.63483556804	464188.17728367617	464188.17728367617
15199.409498902272	195629.9304610564	195629.9304610564
96533.02493748182	126127.95351410612	126127.95351410612
11118.891094488123	203618.3074588072	203618.3074588072
13197.262385141054	126218.73439498694	126218.73439498694
30518.09098752842	47253.71122075365	47253.71122075365
0.0	89912.18416864671	89912.18416864671
49568.104411342334	11094.986467928109	11094.986467928109
94386.59917518072	13396.938499410364	13396.938499410364
40919.20140681769	33582.399381007854	33582.399381007854
0.0	198170.53628362555	198170.53628362555
49059.76236992488	73323.1822318966	73323.1822318966
16787.862301645764	245637.24902625557	245637.24902625557
68738.17432751576	28417.45003841617	28417.45003841617
37441.507502019296	46806.02698562041	46806.02698562041
22331.486633357737	333708.7200430681	333708.7200430681
32242.392135220965	49090.89660899602	49090.89660899602
31662.895171164055	23338.365900224482	23338.365900224482
24466.938473707927	21180.732199856633	21180.732199856633
24063.35127391824	17662.76884887701	17662.76884887701
14991.77177310481	121042.29075207106	121042.29075207106
65544.93784655828	37915.71068647826	37915.71068647826
92206.2224361083	86959.1769759162	86959.1769759162
63830.828853257604	121424.82270211958	121424.82270211958
25782.780460638645	197006.53299374113	197006.53299374113
24111.2826098852	18210.004106394386	18210.004106394386
73449.06647704881	11710.378611517513	11710.378611517513
63156.44918518461	927679.4719420569	927679.4719420569
18554.42204526536	804352.6791070142	804352.6791070142
18009.70523574354	55798.759290832626	55798.759290832626
12369.497973363672	6037.269570973208	6037.269570973208
0.0	114623.27790249519	114623.27790249519
36285.8351340469	141134.29727778834	141134.29727778834
28047.600338082128	41400.295429862796	41400.295429862796
0.0	32425.75944579374	32425.75944579374
20544.08850783005	420004.26353416155	420004.26353416155
34148.999900931	80021.99279330134	80021.99279330134
24664.839431908043	50671.2668122784	50671.2668122784
39603.00273467467	961658.0032096897	961658.0032096897
29822.829193564583	371220.25089887594	371220.25089887594
0.0	47505.80395129953	47505.80395129953
29387.206663702535	16352.63201586778	16352.63201586778
24664.651674592595	145322.72249452467	145322.72249452467
15930.414166854129	212998.86577260494	212998.86577260494
18318.0873454411	31055.678874607634	31055.678874607634
79152.55198174238	96050.00903611063	96050.00903611063
6390.1074872406225	285058.97516829416	285058.97516829416
29758.721351791162	76750.85670939495	76750.85670939495
48041.8681954679	56454.907755734464	56454.907755734464
108644.6412702539	39663.29483984622	39663.29483984622
48648.89307695822	257200.38253298996	257200.38253298996
24155.014275504433	746392.8098290197	746392.8098290197
40024.726874291075	36256.55880915533	36256.55880915533
0.0	505422.6227810886	505422.6227810886
82023.64615501126	213983.83550300126	213983.83550300126
54218.9894454329	142655.49493373206	142655.49493373206
23317.92043775763	136080.13510178332	136080.13510178332
26147.041671801922	9302.205536268657	9302.205536268657
14645.034716594047	752891.875675071	752891.875675071
48136.869912076705	461031.129747673	461031.129747673
