LBV100	2R	61545105	2731706891	44.38544529252164	51.74052280038502
LBV100	3R	53200684	2236616658	42.04112597499686	30.66698708563323
LBV100	2L	49364325	2179118070	44.14358081468753	35.55669445920069
LBV100	UNKN	42389979	2916667394	68.80558714124392	2277.5350354595225
LBV100	3L	41963435	1696923351	40.43814218259301	30.694132713300224
LBV100	X	24393108	1163677808	47.70518820315968	550.5892256314436
LBV100	Y_unplaced	237045	15868789	66.9442046868738	753.8385522995517
LBV100	Mt	15363	1294531	84.26290438065482	122.53451716596659
LBV101	2R	61545105	3973141104	64.55657365439542	48.13820003764708
LBV101	3R	53200684	3262396396	61.32245209478886	43.90811054646063
LBV101	2L	49364325	3199649970	64.81705097760377	51.807534279124184
LBV101	UNKN	42389979	2889026002	68.15351340466576	1928.998128486577
LBV101	3L	41963435	2500002416	59.575733397420876	44.16750146960649
LBV101	X	24393108	1664398010	68.23230602676789	472.3098734535104
LBV101	Y_unplaced	237045	15812880	66.70834651648421	683.5264455982875
LBV101	Mt	15363	1458484	94.93484345505435	163.25839114795573
LBV102	2R	61545105	3795524926	61.670622318379344	55.17545606549142
LBV102	3R	53200684	3121348906	58.671217573067295	44.1255865635089
LBV102	2L	49364325	3056727411	61.92179090871799	78.0556513274638
LBV102	UNKN	42389979	3064815237	72.30046603703201	1032.0958451701065
LBV102	3L	41963435	2357902225	56.189447432032196	59.6636421872838
LBV102	X	24393108	992026151	40.66829659426753	808.456128219112
LBV102	Y_unplaced	237045	1021692051	4310.118547111308	27770.32809445825
LBV102	Mt	15363	1312742	85.44828484020049	162.8908718960428
LBV105	2R	61545105	3915459650	63.619351205916374	49.571368548801
LBV105	3R	53200684	3247783594	61.047778896978095	45.81744748242942
LBV105	2L	49364325	3129093286	63.38774582656605	47.1980862004747
LBV105	UNKN	42389979	3764017654	88.79498746625941	2987.2945125261203
LBV105	3L	41963435	2452226362	58.4372171153291	49.47663038963558
LBV105	X	24393108	1726408411	70.77443395077003	1185.7693803934615
LBV105	Y_unplaced	237045	21640872	91.29436183003227	942.0240415195385
LBV105	Mt	15363	1517060	98.7476404348109	209.7513555963039
LBV106	2R	61545105	6456467443	104.90627066116794	84.76962906842351
LBV106	3R	53200684	5262410049	98.91621034421287	72.48701160407333
LBV106	2L	49364325	5183512440	105.0052328275531	130.30096947174718
LBV106	UNKN	42389979	4586105262	108.18842967579673	1846.0606780805367
LBV106	3L	41963435	4010431667	95.56967076217664	102.96252295743312
LBV106	X	24393108	1652483999	67.74388892961078	1016.3972071046729
LBV106	Y_unplaced	237045	1169472157	4933.54492606889	30760.229402838308
LBV106	Mt	15363	2187596	142.39380329362754	222.65782458873147
LBV107	2R	61545105	3144275810	51.08896653925605	46.20791478909346
LBV107	3R	53200684	2585770389	48.60408165052915	35.078566584523465
LBV107	2L	49364325	2549776896	51.652218398610735	84.64152464310203
LBV107	UNKN	42389979	2649992036	62.51458713862538	1701.1226423328937
LBV107	3L	41963435	1991076559	47.4478926474918	62.75935666906581
LBV107	X	24393108	781108004	32.021667923579066	500.684322548655
LBV107	Y_unplaced	237045	619297032	2612.5715876732265	20323.13118859497
LBV107	Mt	15363	1326630	86.35227494629954	154.70550724357446
LBV112	2R	61545105	3148326135	51.15477721583219	94.0123799749868
LBV112	3R	53200684	2582345163	48.5396985309437	36.16593629253954
LBV112	2L	49364325	2516530139	50.9787207462069	76.71147948107185
LBV112	UNKN	42389979	2674342594	63.08902851780134	763.9875536159749
LBV112	3L	41963435	1969925581	46.94385912402071	60.10749440762354
LBV112	X	24393108	755992630	30.992058494555103	378.2573633662014
LBV112	Y_unplaced	237045	419784497	1770.9063553333756	10434.24571969542
LBV112	Mt	15363	817837	53.23419904966478	94.81471336217565
LBV113	2R	61545105	2873768195	46.693692292831415	41.56386196756921
LBV113	3R	53200684	2333153144	43.855698246285705	33.702242590586145
LBV113	2L	49364325	2284951604	46.287508316988024	39.836290610457496
LBV113	UNKN	42389979	2822147283	66.57581224562531	1826.1771453306903
LBV113	3L	41963435	1777327569	42.35419643315663	33.98150727859867
LBV113	X	24393108	1246913424	51.11744776434393	706.9252982751018
LBV113	Y_unplaced	237045	12570338	53.02933198337868	541.8878599959006
LBV113	Mt	15363	897359	58.410401614268046	83.71564742348394
LBV114	2R	61545105	2267372450	36.84082511517366	29.36992293858544
LBV114	3R	53200684	1872885030	35.20415320224078	26.699220991354544
LBV114	2L	49364325	1828267872	37.03621738978503	31.06859864109049
LBV114	UNKN	42389979	2643728246	62.366821318783856	1044.5846651992786
LBV114	3L	41963435	1425156879	33.96187368836703	27.393467343587783
LBV114	X	24393108	1005903029	41.237181789216855	598.907572580708
LBV114	Y_unplaced	237045	6383980	26.931510894555885	279.66469030838306
LBV114	Mt	15363	2229967	145.1517932695437	215.4778143989114
LBV11	2R	61545105	2485045746	40.377634354511216	42.295431015580775
LBV11	3R	53200684	2038621742	38.31946487755684	27.47608362430726
LBV11	2L	49364325	1981000470	40.130204758193294	35.13885216142676
LBV11	UNKN	42389979	2302037903	54.30618172752575	929.87184482187
LBV11	3L	41963435	1548541026	36.90215126573885	27.735867413746785
LBV11	X	24393108	1056317340	43.30392584659569	499.6825235230784
LBV11	Y_unplaced	237045	20051357	84.58882068805501	713.0558315811909
LBV11	Mt	15363	871085	56.700188765215124	68.62499816411871
LBV127	2R	61545105	4297350672	69.8244104384906	58.095197534258325
LBV127	3R	53200684	3507292573	65.92570450785934	52.88464201565449
LBV127	2L	49364325	3437820360	69.64179820143393	81.30862735277745
